=== AetherCore Summary Analyzer (Gepard 3.0) ===
ไฟล์นี้คือ output จาก parser เก่า → วิเคราะห์ได้เลย

พบทั้งหมด 768 packet

Opcode ที่สำคัญ (Gepard 3.0):
------------------------------------------------------------
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x4003 | Len: 34597 |
Opcode: 0x0895 | Len: 9496  |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x7DAF | Len: 4096  |
Opcode: 0xA97F | Len: 12288 |
Opcode: 0xD117 | Len: 16384 |
Opcode: 0xBEAC | Len: 20480 |
Opcode: 0x6714 | Len: 24576 |
Opcode: 0x9062 | Len: 35109 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5089 | Len: 37925 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5089 | Len: 37925 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5069 | Len: 22822 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x5069 | Len: 22822 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x7094 | Len: 37158 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x3007 | Len: 38694 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x3076 | Len: 22311 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x3076 | Len: 22311 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x2054 | Len: 20776 |
Opcode: 0xCEE9 | Len: 7765  | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0xDF3E | Len: 44165 | 🚨 Gepard Heartbeat / Anti-Bot Check
Opcode: 0x6201 | Len: 4096  |
Opcode: 0x0006 | Len: 8192  |
Opcode: 0x0006 | Len: 12288 | 
Opcode: 0x0000 | Len: 16384 |
Opcode: 0x0000 | Len: 20480 |
Opcode: 0x0000 | Len: 24576 |
Opcode: 0x0002 | Len: 28672 |
Opcode: 0x0000 | Len: 32768 |
Opcode: 0x0300 | Len: 36864 |
Opcode: 0x0000 | Len: 40960 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0601 | Len: 45056 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 49152 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53248 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57344 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61440 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 1     |
Opcode: 0x0000 | Len: 4097  |
Opcode: 0x0000 | Len: 8193  |
Opcode: 0x0000 | Len: 12289 |
Opcode: 0x0008 | Len: 16385 |
Opcode: 0x0000 | Len: 20481 |
Opcode: 0x0300 | Len: 24577 |
Opcode: 0x0000 | Len: 28673 |
Opcode: 0x0003 | Len: 32769 |
Opcode: 0x0000 | Len: 36865 |
Opcode: 0x8D00 | Len: 40961 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 45057 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0E01 | Len: 49153 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53249 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57345 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61441 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 2     |
Opcode: 0x0000 | Len: 4098  |
Opcode: 0x0000 | Len: 8194  |
Opcode: 0x0000 | Len: 12290 |
Opcode: 0x0000 | Len: 16386 |
Opcode: 0x0001 | Len: 20482 |
Opcode: 0x0000 | Len: 24578 |
Opcode: 0x0300 | Len: 28674 |
Opcode: 0x0000 | Len: 32770 |
Opcode: 0x0003 | Len: 36866 |
Opcode: 0x0000 | Len: 40962 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0xA700 | Len: 45058 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 49154 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x1601 | Len: 53250 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 57346 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61442 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 3     |
Opcode: 0x0000 | Len: 4099  |
Opcode: 0x0000 | Len: 8195  |
Opcode: 0x0000 | Len: 12291 |
Opcode: 0x0000 | Len: 16387 |
Opcode: 0x0000 | Len: 20483 |
Opcode: 0x0002 | Len: 24579 |
Opcode: 0x0000 | Len: 28675 |
Opcode: 0x0300 | Len: 32771 |
Opcode: 0x0000 | Len: 36867 |
Opcode: 0x001B | Len: 40963 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 45059 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x9400 | Len: 49155 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 53251 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x2101 | Len: 57347 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 61443 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0000 | Len: 4     |
Opcode: 0x0000 | Len: 4100  |
Opcode: 0x0000 | Len: 8196  |
Opcode: 0x0205 | Len: 12292 |
Opcode: 0x0000 | Len: 16388 |
Opcode: 0x0000 | Len: 20484 |
Opcode: 0x0000 | Len: 24580 |
Opcode: 0x08FD | Len: 28676 |
Opcode: 0x0000 | Len: 32772 |
Opcode: 0x0000 | Len: 36868 |
Opcode: 0x0000 | Len: 40964 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
Opcode: 0x0100 | Len: 45060 | 🚨 ขนาดใหญ่พิเศษ (น่าจะ Gepard)
